epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,116.761,2.64922,0.36328,1.20872,0.10474,0.40316,0.13212,0.05617,1.1871,0.7582,0.17106,0.000366027,0.000366027,0.000366027
2,204.008,1.62726,0.43244,0.27917,0.55303,0.35765,0.23636,0.1329,0.82384,0.96397,0.07786,0.000699911,0.000699911,0.000699911
3,300.86,1.59228,0.38763,0.31521,0.15958,0.69914,0.28409,0.12558,0.79722,0.94799,0.05191,0.000997131,0.000997131,0.000997131
4,394.337,1.73098,0.32537,0.2784,0.20163,0.65373,0.28197,0.1598,0.72078,0.75838,0.03838,0.000946016,0.000946016,0.000946016
5,485.615,1.75503,0.27034,0.3229,0.24129,0.66742,0.33519,0.18359,0.7881,0.72972,0.04284,0.000891022,0.000891022,0.000891022
6,584.056,2.02673,0.22251,0.62897,0.28674,0.68142,0.38798,0.22512,0.69476,0.6639,0.03776,0.000836027,0.000836027,0.000836027
7,683.334,1.6291,0.29634,0.26865,0.32233,0.65836,0.41159,0.23356,0.67999,0.73249,0.03382,0.000781033,0.000781033,0.000781033
8,776.85,1.43826,0.33861,0.18489,0.33351,0.70255,0.43168,0.25638,0.72341,0.73894,0.03595,0.000726038,0.000726038,0.000726038
9,872.212,1.43825,0.32403,0.19006,0.3629,0.70894,0.48677,0.28754,0.71876,0.70214,0.0355,0.000671044,0.000671044,0.000671044
10,966.187,1.24748,0.36738,0.13193,0.36621,0.67356,0.50066,0.35804,0.65792,0.69972,0.02892,0.000616049,0.000616049,0.000616049
11,1049.82,0.80288,0.5681,0.06054,0.45081,0.70842,0.54424,0.39234,0.65629,0.58274,0.03843,0.000561055,0.000561055,0.000561055
12,1133.68,0.75483,0.59468,0.04691,0.43829,0.69687,0.53973,0.38402,0.61303,0.62125,0.02598,0.00050606,0.00050606,0.00050606
13,1212.35,0.67906,0.58494,0.03311,0.43347,0.77535,0.564,0.41313,0.58258,0.61179,0.02384,0.000451066,0.000451066,0.000451066
14,1288.72,0.6413,0.59251,0.03016,0.43384,0.7656,0.56962,0.42226,0.58024,0.61045,0.02274,0.000396071,0.000396071,0.000396071
15,1369.43,0.61769,0.57867,0.02741,0.47629,0.77027,0.66198,0.49275,0.58345,0.63949,0.02269,0.000341077,0.000341077,0.000341077
16,1445.38,0.60473,0.61065,0.02531,0.53042,0.77093,0.73681,0.55536,0.5719,0.66277,0.0217,0.000286083,0.000286083,0.000286083
17,1529.38,0.59277,0.52443,0.02228,0.71655,0.79453,0.81712,0.6036,0.55982,0.50114,0.02002,0.000231088,0.000231088,0.000231088
18,1609.01,0.58265,0.50577,0.02311,0.73979,0.81223,0.83835,0.6111,0.57342,0.48067,0.02022,0.000176094,0.000176094,0.000176094
19,1671.31,0.58979,0.47504,0.02409,0.75171,0.82006,0.8459,0.62157,0.56189,0.46614,0.01964,0.000121099,0.000121099,0.000121099
20,1730.58,0.58191,0.4734,0.02224,0.76582,0.83471,0.85609,0.63392,0.55362,0.4665,0.02,6.61045e-05,6.61045e-05,6.61045e-05
