epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7559,2.00661,3.76295,0.80445,0.25584,0.47602,0.26406,0.15776,1.88673,3.27897,0.75686,0.00023331,0.00023331,0.00023331
2,40.1147,1.83603,1.54467,0.76153,0.39602,0.56042,0.44156,0.27372,1.83056,1.7525,0.75219,0.000454082,0.000454082,0.000454082
3,51.0252,1.87611,1.3317,0.74699,0.56333,0.63199,0.60974,0.40994,1.77999,1.38958,0.73816,0.000650657,0.000650657,0.000650657
4,60.9469,1.89152,1.1941,0.73962,0.6441,0.65367,0.68397,0.4416,1.79348,1.118,0.73825,0.000823034,0.000823034,0.000823034
5,77.0407,1.93901,1.11976,0.73277,0.72799,0.71573,0.7364,0.50875,1.76393,0.97066,0.73433,0.000891022,0.000891022,0.000891022
6,95.3324,1.80906,1.03959,0.73666,0.73672,0.71194,0.76928,0.51025,1.75428,0.94138,0.73101,0.000836027,0.000836027,0.000836027
7,114.194,1.79992,1.00255,0.73459,0.71534,0.76987,0.79208,0.51487,1.79015,0.89873,0.73132,0.000781033,0.000781033,0.000781033
8,132.753,1.85825,1.00582,0.73267,0.82622,0.72779,0.80923,0.5687,1.64646,0.83201,0.73131,0.000726038,0.000726038,0.000726038
9,150.278,1.77566,0.92955,0.73783,0.82605,0.78007,0.8385,0.56907,1.75924,0.78336,0.73094,0.000671044,0.000671044,0.000671044
10,165.995,1.82875,0.94432,0.73018,0.85331,0.79976,0.85532,0.58716,1.70455,0.75413,0.72695,0.000616049,0.000616049,0.000616049
11,181.491,1.69875,0.91818,0.74397,0.82667,0.76692,0.84722,0.59622,1.65045,0.78606,0.7307,0.000561055,0.000561055,0.000561055
12,198.777,1.5667,0.82643,0.7409,0.864,0.79371,0.85406,0.59645,1.66011,0.71809,0.73057,0.00050606,0.00050606,0.00050606
13,215.272,1.61302,0.81559,0.736,0.84383,0.77185,0.86451,0.59592,1.67454,0.75781,0.72619,0.000451066,0.000451066,0.000451066
14,232.631,1.55476,0.78674,0.73656,0.86658,0.80873,0.86891,0.60275,1.65813,0.71032,0.72456,0.000396071,0.000396071,0.000396071
15,250.599,1.56241,0.74139,0.7395,0.88791,0.79758,0.86946,0.63288,1.57757,0.68735,0.72551,0.000341077,0.000341077,0.000341077
16,264.908,1.51419,0.72371,0.74462,0.8796,0.80782,0.87139,0.60973,1.64344,0.68296,0.72441,0.000286083,0.000286083,0.000286083
17,278.258,1.51329,0.69913,0.73766,0.88699,0.8142,0.87199,0.63566,1.54607,0.65463,0.72502,0.000231088,0.000231088,0.000231088
18,293.787,1.46178,0.68418,0.74015,0.8779,0.81699,0.87216,0.62367,1.56653,0.64211,0.72514,0.000176094,0.000176094,0.000176094
19,308.796,1.45836,0.68806,0.7391,0.87949,0.81871,0.87902,0.63121,1.53495,0.64162,0.72549,0.000121099,0.000121099,0.000121099
20,324.254,1.4913,0.68305,0.73656,0.88365,0.82574,0.88364,0.6387,1.51785,0.63676,0.72464,6.61045e-05,6.61045e-05,6.61045e-05
